PLAYERID,LAST,FIRST,NICKNAME,BIRTHDATE,FROM.CITY,FROM.STATE,FROM.COUNTRY,PLAY.DEBUT,PLAY.LASTGAME,MGR.DEBUT,MGR.LASTGAME,COACH.DEBUT,COACH.LASTGAME,UMP.DEBUT,UMP.LASTGAME,BATS,THROWS,HEIGHT
"albaj201","Albayati","Jillian Graciela","Jill","05/03/2004","Anaheim","California","USA","08/02/2026",,,,,,,,"R","R","5-06"
"apgab201","Apgar","Brittany","Britt","08/08/2003","Greensboro","North Carolina","USA","08/01/2026",,,,,,,,"R","L",
"atkic201","Atkinson","Chloe Grace","Chloe","02/09/2007","Perth","Western Australia","Australia",,,,,,,,,"R","R",
"baira201","Baird","Addisyn","Addisyn","03/06/2008","Granger","Indiana","USA",,,,,,,,,"B","R","5-05"
"barar201","Barajas","Rocio (Martinez)","Rocio","10/09/1997","Puerto Vallarta","Jalisco","Mexico",,,,,,,,,"R","R",
"barrs201","Barry","Sydney","Sydney",,"Fort McMurray","Alberta","Canada",,,,,,,,,"L","R",
"baxte201","Baxter","Emily Anne","Emily","06/02/2000","Oakville","Ontario","Canada",,,,,,,,,"L","R","5-03"
"bazzk201","Bazzano","Kaija","Kaija","05/07/2002","Sebastopol","California","USA",,,,,,,,,"R","R",
"beark201","Bearpaw","Kailyn","Kailyn","2003","Sapulpa","Oklahoma","USA",,,,,,,,,"R","R","5-08"
"beaus201","Beaulieu","Sarah","Sarah",,"Riviere-du-Loup","Quebec","Canada",,,,,,,,,"L","R",
"bebba201","Bebbere","Allison","Allie","09/26/1994","Montmorency","Victoria","Australia",,,,,,,,,"R","R",
"benap201","Benach","Paloma","Paloma","12/06/2003","Washington","D.C.","USA","08/09/2026",,,,,,,,"L","L","5-10"
"benid201","Benites","Denae Michelle","Denae","09/10/2001","Las Vegas","Nevada","USA","08/01/2026",,,,,,,,"R","R",
"benis201","Benitez","Samaria (Virgen)","Samaria","08/30/2002","Tuxpan","Nayarit","Mexico","08/01/2026",,,,,,,,"R","R",
"bepph201","Beppu","Hinano","Hinano","12/04/1996","Nakagawa","Fukuoka","Japan","08/14/2026",,,,,,,,"R","R",
