Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Location,Postponed,Makeup
20260801,0,Saturday,LAQ,WPBL,1,NYH,WPBL,1,n,SPR03,,
20260802,0,Sunday,SFF,WPBL,1,BSH,WPBL,1,n,SPR03,,
20260805,0,Wednesday,BSH,WPBL,2,LAQ,WPBL,2,n,SPR03,,
20260806,0,Thursday,NYH,WPBL,2,SFF,WPBL,2,n,SPR03,,
20260807,0,Friday,SFF,WPBL,3,LAQ,WPBL,3,n,SPR03,,
20260808,0,Saturday,BSH,WPBL,3,NYH,WPBL,3,d,SPR03,,
20260808,0,Saturday,LAQ,WPBL,4,SFF,WPBL,4,n,SPR03,,
20260809,0,Sunday,NYH,WPBL,4,BSH,WPBL,4,n,SPR03,,
20260812,0,Wednesday,LAQ,WPBL,5,SFF,WPBL,5,n,SPR03,,
20260813,0,Thursday,BSH,WPBL,5,NYH,WPBL,5,n,SPR03,,
20260814,0,Friday,LAQ,WPBL,6,SFF,WPBL,6,n,SPR03,,
20260815,0,Saturday,SFF,WPBL,7,NYH,WPBL,6,d,SPR03,,
20260815,0,Saturday,LAQ,WPBL,7,BSH,WPBL,6,n,SPR03,,
20260816,0,Sunday,BSH,WPBL,7,NYH,WPBL,7,n,SPR03,,
20260819,0,Wednesday,NYH,WPBL,8,SFF,WPBL,8,n,SPR03,,
20260820,0,Thursday,NYH,WPBL,9,BSH,WPBL,8,n,SPR03,,
20260821,0,Friday,SFF,WPBL,9,LAQ,WPBL,8,n,SPR03,,
20260822,0,Saturday,SFF,WPBL,10,BSH,WPBL,9,d,SPR03,,
20260822,0,Saturday,NYH,WPBL,10,LAQ,WPBL,9,n,SPR03,,
20260823,0,Sunday,LAQ,WPBL,10,BSH,WPBL,10,n,SPR03,,
20260826,0,Wednesday,BSH,WPBL,11,LAQ,WPBL,11,n,SPR03,,
20260827,0,Thursday,LAQ,WPBL,12,NYH,WPBL,11,n,SPR03,,
20260828,0,Friday,BSH,WPBL,12,SFF,WPBL,11,n,SPR03,,
20260829,0,Saturday,NYH,WPBL,12,LAQ,WPBL,13,n,SPR03,,
20260830,0,Sunday,NYH,WPBL,13,SFF,WPBL,12,n,SPR03,,
20260902,0,Wednesday,SFF,WPBL,13,BSH,WPBL,13,n,SPR03,,
20260903,0,Thursday,NYH,WPBL,14,LAQ,WPBL,14,n,SPR03,,
20260904,0,Friday,SFF,WPBL,14,NYH,WPBL,15,n,SPR03,,
20260905,0,Saturday,LAQ,WPBL,15,BSH,WPBL,14,n,SPR03,,
20260906,0,Sunday,BSH,WPBL,15,SFF,WPBL,15,n,SPR03,,
